Nume,CodFiscal,Judet,Telefon,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,CodCAEN2021,DescriereCodCAEN2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
S.C.DACOR EXIM S.R.L.,3249317,BIHOR,0359194481,1214499,739267,0.01%,6820,Închirierea si subînchirierea bunurilor imobiliare proprii sau în leasing,2.0,1108215.0,653199.0,0.01%,6820.0,Închirierea si subînchirierea bunurilor imobiliare proprii sau în leasing,2.0,1052742.0,682321.0,0.01%,6820.0,Închirierea si subînchirierea bunurilor imobiliare proprii sau în leasing,2.0,992423.0,514811.0,0.01%,6820.0,Închirierea si subînchirierea bunurilor imobiliare proprii sau în leasing
S.C. ELFIN PRODSERV S.R.L,11145236,CLUJ,0264317511,152693,6237,0.08%,2821,"Fabricarea cuptoarelor, furnalelor si arzatoarelor",1.0,227857.0,46141.0,0.13%,2821.0,"Fabricarea cuptoarelor, furnalelor si arzatoarelor",1.0,77327.0,0.0,0.04%,2821.0,"Fabricarea cuptoarelor, furnalelor si arzatoarelor",1.0,272219.0,97652.0,0.15%,2821.0,"Fabricarea cuptoarelor, furnalelor si arzatoarelor"
S.C. CLINICA DE DIABET SI NUTRITIE DACIA SRL,28613358,MUNICIPIUL BUCUREŞTI,-,297542,83321,0%,8622,Activitati de asistenta medicala specializata,2.0,253088.0,125610.0,0%,8622.0,Activitati de asistenta medicala specializata,2.0,169465.0,76285.0,0%,8622.0,Activitati de asistenta medicala specializata,2.0,99965.0,6061.0,0%,8622.0,Activitati de asistenta medicala specializata
ALBA PROJECT CONSALTING SRL,29440379,ALBA,-,41163,0,0%,7022,Activitati de consultanta pentru afaceri si management,0.0,41163.0,0.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,0.0,46170.0,4666.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,0.0,0.0,0.0,0%,7022.0,Activitati de consultanta pentru afaceri si management
LC BEST MEDICAL SRL,31998319,SUCEAVA,0744520425,2746317,1751148,0.03%,8622,Activitati de asistenta medicala specializata,13.0,2125387.0,1050270.0,0.02%,8622.0,Activitati de asistenta medicala specializata,14.0,1569450.0,582854.0,0.02%,8622.0,Activitati de asistenta medicala specializata,12.0,1041485.0,239621.0,0.01%,8622.0,Activitati de asistenta medicala specializata
S.C. GREEN ITALIAN FARM SRL,32315333,TIMIŞ,0722692024,0,0,0%,111,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase",0.0,266136.0,0.0,0%,111.0,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase",0.0,379530.0,238793.0,0%,111.0,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase",0.0,411059.0,82796.0,0%,111.0,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase"
MAYA VISUALS STUDIO SRL-D,34445437,ILFOV,-,0,0,0%,7420,Activitati fotografice,0.0,0.0,0.0,0%,7420.0,Activitati fotografice,0.0,0.0,0.0,0%,7420.0,Activitati fotografice,0.0,0.0,0.0,0%,7420.0,Activitati fotografice
Young Production Events SRL,35825639,MUNICIPIUL BUCUREŞTI,-,547914,0,0.04%,9329,Alte activitati recreative si distractive n.c.a.,1.0,489112.0,46342.0,0.04%,9329.0,Alte activitati recreative si distractive n.c.a.,1.0,426657.0,0.0,0.03%,9329.0,Alte activitati recreative si distractive n.c.a.,1.0,281874.0,44575.0,0.02%,9329.0,Alte activitati recreative si distractive n.c.a.
EUMATIC TRUST SRL,37049216,BRAŞOV,-,764740,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,13.0,1948314.0,703170.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,7.0,1622312.0,839610.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,4.0,442133.0,235029.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale
PREMIUM NAILS SRL,37058109,ALBA,-,35928,0,0%,4791,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,3.0,21347.0,0.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,1.0,1056.0,0.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet,1.0,25858.0,0.0,0%,4791.0,Comert cu amanuntul prin intermediul caselor de comenzi sau prin Internet
SC TERMOPLAST OCTAVIAN SRL,37080360,MUREŞ,0766294311,2317240,54121,0.05%,2223,Fabricarea articolelor din material plastic pentru constructii,16.0,1324991.0,59679.0,0.03%,2223.0,Fabricarea articolelor din material plastic pentru constructii,12.0,941862.0,6258.0,0.02%,2223.0,Fabricarea articolelor din material plastic pentru constructii,5.0,273596.0,23235.0,0.01%,2223.0,Fabricarea articolelor din material plastic pentru constructii
S.C. FEROTERRA SRL,37103889,SIBIU,-,10554113,1992364,0.11%,2511,Fabricarea de constructii metalice si parti componente ale structurilor metalice,38.0,4679743.0,57787.0,0.05%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,31.0,5665262.0,980606.0,0.06%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice,18.0,1756824.0,103398.0,0.02%,2511.0,Fabricarea de constructii metalice si parti componente ale structurilor metalice
ROYAL WEDDING ROOM SRL D,37107805,MUREŞ,0755338824,371296,0,0%,5610,Restaurante,9.0,276208.0,83569.0,0%,5610.0,Restaurante,6.0,578966.0,120496.0,0%,5610.0,Restaurante,5.0,450854.0,132868.0,0%,5610.0,Restaurante
S.C. JETIX TRANS LKW S.R.L,37217174,COVASNA,0765284420,440186,0,0.01%,4532,Comert cu amanuntul de piese si accesorii pentru autovehicule,3.0,244196.0,0.0,0%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule,2.0,325235.0,0.0,0.01%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule,2.0,451087.0,28720.0,0.01%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule
PAL SANIERUNGEN BAU SRL,37219825,HARGHITA,0746873803,144322,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,4.0,10000.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MAGDIF  AUTO  SRL - D,37240622,SIBIU,-,604789,155305,0.01%,4520,Întretinerea si repararea autovehiculelor,5.0,299949.0,38764.0,0%,4520.0,Întretinerea si repararea autovehiculelor,1.0,0.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,0.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor
SC ALMA REAL ESTATE SRL,37326392,ALBA,-,0,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,2.0,34140.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,2.0,217700.0,91415.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,2.0,12000.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale
SPLENDID DELUXE SRL,37395350,BRAŞOV,-,1140697,32684,0.37%,9604,Activitati de întretinere corporala,2.0,975352.0,3395.0,0.31%,9604.0,Activitati de întretinere corporala,1.0,472009.0,10809.0,0.15%,9604.0,Activitati de întretinere corporala,nan,nan,nan,nan,nan,nan
"CENTRUL DE DEZVOLTARE HOLISTICA ""SF. ANDREI"" SRL",37427222,ILFOV,-,223932,123369,0.02%,8559,Alte forme de învatamânt n.c.a.,0.0,147912.0,65449.0,0.01%,8559.0,Alte forme de învatamânt n.c.a.,1.0,186445.0,88777.0,0.02%,8559.0,Alte forme de învatamânt n.c.a.,1.0,138674.0,76006.0,0.01%,8559.0,Alte forme de învatamânt n.c.a.
SPLENDID REGAL SRL,37429711,BRAŞOV,-,363599,100472,0%,5610,Restaurante,3.0,68234.0,5002.0,0%,5610.0,Restaurante,0.0,0.0,0.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
SC COSTEA INVEST DAD SRL,37451026,ALBA,-,1308287,418140,0.02%,1610,Taierea si rindeluirea lemnului,2.0,361592.0,31088.0,0.01%,1610.0,Taierea si rindeluirea lemnului,1.0,262134.0,19280.0,0%,1610.0,Taierea si rindeluirea lemnului,1.0,6270.0,774.0,0%,1610.0,Taierea si rindeluirea lemnului
S.C. ZETE KARTING SRL,37456511,HARGHITA,0744697747,158210,109462,0.14%,9319,Alte activitati sportive,4.0,143551.0,2363.0,0.13%,9319.0,Alte activitati sportive,1.0,71960.0,7355.0,0.06%,9319.0,Alte activitati sportive,1.0,36150.0,0.0,0.03%,9319.0,Alte activitati sportive
SAFRAN TEKNIK S.R.L.,37457746,MUREŞ,-,2554858,294372,0.03%,4669,Comert cu ridicata al altor masini si echipamente,7.0,1695193.0,129355.0,0.02%,4669.0,Comert cu ridicata al altor masini si echipamente,5.0,1834068.0,213792.0,0.02%,4669.0,Comert cu ridicata al altor masini si echipamente,3.0,1075634.0,107989.0,0.01%,4669.0,Comert cu ridicata al altor masini si echipamente
S.C.AUTO COSMETIC TRANSILVANIA SRL,37471007,SIBIU,0761645885,387130,0,0%,4520,Întretinerea si repararea autovehiculelor,5.0,253024.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,2.0,30.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,0.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor
BY ME CLINIC ESTETIQUE SRL,37475475,CLUJ,0755489969,498906,87870,0.01%,8622,Activitati de asistenta medicala specializata,1.0,785697.0,183770.0,0.01%,8622.0,Activitati de asistenta medicala specializata,1.0,640051.0,124366.0,0.01%,8622.0,Activitati de asistenta medicala specializata,0.0,260770.0,115584.0,0%,8622.0,Activitati de asistenta medicala specializata
GZS GRUP,37503176,MUREŞ,-,0,0,0%,9329,Alte activitati recreative si distractive n.c.a.,2.0,1800.0,0.0,0%,9329.0,Alte activitati recreative si distractive n.c.a.,3.0,0.0,0.0,0%,9329.0,Alte activitati recreative si distractive n.c.a.,nan,nan,nan,nan,nan,nan
YMAC CHARMED STYLE SRL,37524047,MUREŞ,-,0,0,0%,9604,Activitati de întretinere corporala,0.0,0.0,0.0,0%,9604.0,Activitati de întretinere corporala,0.0,0.0,0.0,0%,9604.0,Activitati de întretinere corporala,0.0,0.0,0.0,0%,9604.0,Activitati de întretinere corporala
S.C. PERLA NEAGRA EVENTS S.R.L.,37534563,ALBA,-,132082,0,0.01%,5621,Activitati de alimentatie (catering) pentru evenimente,1.0,0.0,0.0,0%,5621.0,Activitati de alimentatie (catering) pentru evenimente,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S.C.ALICE  MIRIAM  TOURISM  S.R.L.,37538476,BRAŞOV,-,137500,10239,0%,5610,Restaurante,7.0,85291.0,8437.0,0%,5610.0,Restaurante,7.0,12000.0,263.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
MCD CABINET,37539595,SIBIU,-,32600,0,0.01%,9604,Activitati de întretinere corporala,4.0,0.0,0.0,0%,9604.0,Activitati de întretinere corporala,0.0,0.0,0.0,0%,9604.0,Activitati de întretinere corporala,0.0,0.0,0.0,0%,9604.0,Activitati de întretinere corporala
TEKOS EXPERT SRL,37561525,SIBIU,0743423943,444000,193417,0.17%,3700,Colectarea si epurarea apelor uzate,3.0,157784.0,41320.0,0.06%,3700.0,Colectarea si epurarea apelor uzate,3.0,32900.0,5838.0,0.01%,3700.0,Colectarea si epurarea apelor uzate,nan,nan,nan,nan,nan,nan
INSPIRE EXECUTION SRL,37561436,SIBIU,0731994411,474703,200149,0.01%,2562,Operatiuni de mecanica generala,6.0,119584.0,0.0,0%,2562.0,Operatiuni de mecanica generala,2.0,112942.0,9167.0,0%,2562.0,Operatiuni de mecanica generala,1.0,120083.0,57808.0,0%,2562.0,Operatiuni de mecanica generala
ADMIN MOTU SRL,37594093,ALBA,0742219685,298221,163690,0.02%,8121,Activitati generale (nespecializate) de curatenie interioara a cladirilor,5.0,299609.0,119209.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,3.0,299487.0,219364.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,2.0,299196.0,251984.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor
TECHNIC MOBILE SRL,37597480,SIBIU,0742801916,542200,220163,0.21%,3700,Colectarea si epurarea apelor uzate,3.0,131167.0,47688.0,0.05%,3700.0,Colectarea si epurarea apelor uzate,6.0,83370.0,9972.0,0.03%,3700.0,Colectarea si epurarea apelor uzate,2.0,68040.0,29354.0,0.03%,3700.0,Colectarea si epurarea apelor uzate
RUBI START BUSINESS,37618885,ALBA,-,622590,5459,0.56%,9319,Alte activitati sportive,5.0,269305.0,10345.0,0.24%,9319.0,Alte activitati sportive,0.0,0.0,0.0,0%,9319.0,Alte activitati sportive,nan,nan,nan,nan,nan,nan
S.C. DRK-EYE S.R.L.,37623962,MUREŞ,-,0,0,0%,8690,Alte activitati referitoare la sanatatea umana,3.0,9800.0,0.0,0%,8690.0,Alte activitati referitoare la sanatatea umana,0.0,7562.0,6480.0,0%,8690.0,Alte activitati referitoare la sanatatea umana,nan,nan,nan,nan,nan,nan
S.C. LABORATORUL DE ARTA CULINARA SRL,37624356,MUNICIPIUL BUCUREŞTI,-,0,0,0%,8559,Alte forme de învatamânt n.c.a.,0.0,0.0,0.0,0%,8559.0,Alte forme de învatamânt n.c.a.,0.0,4850.0,4205.0,0%,8559.0,Alte forme de învatamânt n.c.a.,1.0,0.0,0.0,0%,8559.0,Alte forme de învatamânt n.c.a.
BODROGENI CASUTE SRL,37626608,ALBA,-,533353,17422,0.06%,5520,Facilitati de cazare pentru vacante si perioade de scurta durata,5.0,392811.0,96638.0,0.04%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata,1.0,293927.0,50272.0,0.03%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata,1.0,88645.0,1945.0,0.01%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata
S.C. BOWLING PARC SRL,37627697,ALBA,-,227931,4461,0%,5610,Restaurante,10.0,213484.0,0.0,0%,5610.0,Restaurante,4.0,0.0,0.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
S.C. PAPADIA AUTO SERVICE S.R.L,37648061,HARGHITA,0751221404,47303,0,0%,4520,Întretinerea si repararea autovehiculelor,0.0,17204.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,4003.0,430.0,0%,4520.0,Întretinerea si repararea autovehiculelor,0.0,910.0,0.0,0%,4520.0,Întretinerea si repararea autovehiculelor
S.C. CLEMENS-DEM INVEST SRL,37648070,HARGHITA,0753046070,178945,0,0.01%,4312,Lucrari de pregatire a terenului,5.0,50716.0,6844.0,0%,4312.0,Lucrari de pregatire a terenului,0.0,0.0,0.0,0%,4312.0,Lucrari de pregatire a terenului,0.0,0.0,0.0,0%,4312.0,Lucrari de pregatire a terenului
SC GEVED WORKS SRL,37664164,MUREŞ,-,75000,0,0.01%,5621,Activitati de alimentatie (catering) pentru evenimente,4.0,30000.0,0.0,0%,5621.0,Activitati de alimentatie (catering) pentru evenimente,3.0,30000.0,0.0,0%,5621.0,Activitati de alimentatie (catering) pentru evenimente,nan,nan,nan,nan,nan,nan
SC LOISBERG SRL,37665402,ALBA,-,118121,0,0%,5610,Restaurante,2.0,9095.0,0.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BRB Electro Solution SRL,37674460,ALBA,-,429888,15869,0%,4321,Lucrari de instalatii electrice,7.0,385376.0,66435.0,0%,4321.0,Lucrari de instalatii electrice,6.0,37320.0,0.0,0%,4321.0,Lucrari de instalatii electrice,nan,nan,nan,nan,nan,nan
SIMPLY DABO DIA SRL,37683085,SIBIU,-,1347830,0,0.01%,5610,Restaurante,8.0,845085.0,0.0,0.01%,5610.0,Restaurante,2.0,1623945.0,532390.0,0.01%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
YOUNG FOODS SRL,37690899,ALBA,-,1195163,133115,0.01%,5610,Restaurante,11.0,1191007.0,0.0,0.01%,5610.0,Restaurante,15.0,1052845.0,206378.0,0.01%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
AUGUST FOODS SRL,37692768,ALBA,-,1666145,451265,0.01%,5610,Restaurante,3.0,1296960.0,532678.0,0.01%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SC MONVIO 17 COMERT SRL,37700224,BRAŞOV,0785525525,200995,24023,0.28%,1032,Fabricarea sucurilor de fructe si legume,4.0,158768.0,18558.0,0.22%,1032.0,Fabricarea sucurilor de fructe si legume,0.0,78284.0,11413.0,0.11%,1032.0,Fabricarea sucurilor de fructe si legume,0.0,0.0,0.0,0%,1032.0,Fabricarea sucurilor de fructe si legume
JSX COR EDIL SRL,37710295,BRAŞOV,-,177422,0,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,3.0,89672.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,3.0,136545.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,1.0,5700.0,0.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale
SC FITHUB SRL,37710317,BRAŞOV,0744564934,41364,5050,0.01%,9313,Activitati ale centrelor de fitness,5.0,8552.0,0.0,0%,9313.0,Activitati ale centrelor de fitness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SAINT JACQUES SRL,37723392,BIHOR,-,664135,45501,0.07%,5621,Activitati de alimentatie (catering) pentru evenimente,17.0,87509.0,0.0,0.01%,5621.0,Activitati de alimentatie (catering) pentru evenimente,0.0,0.0,0.0,0%,5621.0,Activitati de alimentatie (catering) pentru evenimente,0.0,0.0,0.0,0%,5621.0,Activitati de alimentatie (catering) pentru evenimente
DABO SIBIU SRL,37723481,SIBIU,-,4817835,1293014,0.03%,5610,Restaurante,10.0,4468588.0,1380848.0,0.03%,5610.0,Restaurante,7.0,1543001.0,705115.0,0.01%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
S.C. NATURAL SWEET QUALITY SRL,37750478,MUREŞ,-,373269,99443,0.03%,1039,Prelucrarea si conservarea fructelor si legumelor n.c.a.,5.0,0.0,0.0,0%,1039.0,Prelucrarea si conservarea fructelor si legumelor n.c.a.,2.0,0.0,0.0,0%,1039.0,Prelucrarea si conservarea fructelor si legumelor n.c.a.,0.0,0.0,0.0,0%,1039.0,Prelucrarea si conservarea fructelor si legumelor n.c.a.
ROSECA DEVELOPERS,37774590,BRAŞOV,-,76660,0,0%,4222,Lucrari de constructie a proiectelor utilitare pentru electricitate si telecomunicatii,10.0,119000.0,0.0,0.01%,4222.0,Lucrari de constructie a proiectelor utilitare pentru electricitate si telecomunicatii,12.0,284000.0,5734.0,0.01%,4222.0,Lucrari de constructie a proiectelor utilitare pentru electricitate si telecomunicatii,0.0,197149.0,191234.0,0.01%,4222.0,Lucrari de constructie a proiectelor utilitare pentru electricitate si telecomunicatii
S.C. GAMES OF STONES SRL,37775812,ALBA,-,0,0,0%,5520,Facilitati de cazare pentru vacante si perioade de scurta durata,0.0,0.0,0.0,0%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata,0.0,0.0,0.0,0%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata,0.0,1000.0,920.0,0%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata
S.C. TOP BUSINESS PLAN SRL,37785310,BRAŞOV,-,147224,0,0%,7022,Activitati de consultanta pentru afaceri si management,5.0,184496.0,14688.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,5.0,55300.0,938.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,nan,nan,nan,nan,nan,nan
S.C. CAROLINA BEST CREAM SRL,37787000,ALBA,-,97843,72983,0.02%,1052,Fabricarea înghetatei,1.0,144075.0,114215.0,0.03%,1052.0,Fabricarea înghetatei,4.0,69046.0,43010.0,0.02%,1052.0,Fabricarea înghetatei,nan,nan,nan,nan,nan,nan
ZASIMO ACT SRL,37791281,MUREŞ,-,15750,0,0%,1412,Fabricarea articolelor de îmbracaminte pentru lucru,4.0,120.0,0.0,0%,1412.0,Fabricarea articolelor de îmbracaminte pentru lucru,0.0,0.0,0.0,0%,1412.0,Fabricarea articolelor de îmbracaminte pentru lucru,1.0,31729.0,0.0,0%,4771.0,"Comert cu amanuntul al îmbracamintei, în magazine specializate"
Drive Hub Rent a Car SRL,37806609,HARGHITA,-,178237,0,0.04%,9601,Spalarea si curatarea (uscata) articolelor textile si a produselor din blana,4.0,156927.0,3840.0,0.04%,9601.0,Spalarea si curatarea (uscata) articolelor textile si a produselor din blana,4.0,45390.0,291.0,0.01%,9601.0,Spalarea si curatarea (uscata) articolelor textile si a produselor din blana,nan,nan,nan,nan,nan,nan
MVA SQUEEZZED SRL,37820166,CONSTANŢA,0729683736,1226133,236545,0.01%,5610,Restaurante,4.0,332245.0,0.0,0.07%,4781.0,"Comert cu amanuntul al produselor alimentare, bauturilor si produselor din tutun efectuat prin standuri, chioscuri si piete",1.0,160190.0,33087.0,0.03%,4781.0,"Comert cu amanuntul al produselor alimentare, bauturilor si produselor din tutun efectuat prin standuri, chioscuri si piete",2.0,260225.0,30277.0,0.05%,4781.0,"Comert cu amanuntul al produselor alimentare, bauturilor si produselor din tutun efectuat prin standuri, chioscuri si piete"
S.C.EVENT PRIME PARTENER SRL,37820310,BRAŞOV,-,87718,85477,0.02%,9002,Activitati suport pentru interpretare artistica (spectacole),6.0,124250.0,47092.0,0.03%,9002.0,Activitati suport pentru interpretare artistica (spectacole),4.0,73303.0,913.0,0.02%,9002.0,Activitati suport pentru interpretare artistica (spectacole),nan,nan,nan,nan,nan,nan
LCRFOOD SRL,37820611,MUREŞ,0751154870,502603,46206,0%,5610,Restaurante,6.0,208365.0,11389.0,0%,5610.0,Restaurante,0.0,0.0,0.0,0%,5610.0,Restaurante,0.0,0.0,0.0,0%,5610.0,Restaurante
MEMORIES EVEART SRL,37827059,BRAŞOV,-,1249984,425058,0.01%,7311,Activitati ale agentiilor de publicitate,8.0,633760.0,2640.0,0.01%,7311.0,Activitati ale agentiilor de publicitate,5.0,887468.0,532688.0,0.01%,7311.0,Activitati ale agentiilor de publicitate,2.0,481179.0,272056.0,0.01%,7311.0,Activitati ale agentiilor de publicitate
BATI ECO SOLAIRE CONFORT SRL,37828194,MUREŞ,0743884674,0,0,0%,4322,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",2.0,0.0,0.0,0%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",4.0,1522506.0,1178313.0,0.02%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat",1.0,3856468.0,3649522.0,0.04%,4322.0,"Lucrari de instalatii sanitare, de încalzire si de aer conditionat"
S.C.IFLY SIBIU SRL,37831238,SIBIU,0745668600,120872,0,0.01%,4391,"Lucrari de învelitori, sarpante si terase la constructii",6.0,12200.0,0.0,0%,4391.0,"Lucrari de învelitori, sarpante si terase la constructii",0.0,0.0,0.0,0%,4391.0,"Lucrari de învelitori, sarpante si terase la constructii",0.0,0.0,0.0,0%,4391.0,"Lucrari de învelitori, sarpante si terase la constructii"
GULFERTEILE SRL,37840627,COVASNA,0744357765,536361,69585,0.01%,4532,Comert cu amanuntul de piese si accesorii pentru autovehicule,4.0,487536.0,0.0,0.01%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule,1.0,344916.0,6257.0,0.01%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule,0.0,204625.0,31088.0,0%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule
SC RAPID LIFTS SRL,37844610,ALBA,-,433101,19514,0%,4520,Întretinerea si repararea autovehiculelor,8.0,379780.0,63553.0,0.46%,4942.0,Servicii de mutare,0.0,378700.0,181949.0,0.46%,4942.0,Servicii de mutare,5.0,353200.0,149629.0,0.43%,4942.0,Servicii de mutare
OLI DEP WOODFOREST SRL,37847005,MUREŞ,-,465324,127393,0.01%,1610,Taierea si rindeluirea lemnului,5.0,429817.0,40450.0,0.01%,220.0,Exploatarea forestiera,3.0,8403.0,0.0,0%,1610.0,Taierea si rindeluirea lemnului,0.0,0.0,0.0,0%,220.0,Exploatarea forestiera
WOLFSFILMART SRL-D,37852915,SIBIU,0746361658,40091,10078,0.01%,7420,Activitati fotografice,5.0,40917.0,0.0,0.01%,7420.0,Activitati fotografice,4.0,42384.0,14356.0,0.01%,7420.0,Activitati fotografice,0.0,29188.0,13156.0,0.01%,7420.0,Activitati fotografice
S.C. ROAL FINANCE PROJECT SRL,37854657,MUREŞ,0740210246,104900,99782,0%,7022,Activitati de consultanta pentru afaceri si management,0.0,20000.0,19140.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,0.0,0.0,0.0,0%,7022.0,Activitati de consultanta pentru afaceri si management,0.0,48750.0,45512.0,0%,7022.0,Activitati de consultanta pentru afaceri si management
AGROBELL BIOSALANA SRL,37875480,BRAŞOV,0740113398,130850,2190,0%,7120,Activitati de testare si analize tehnice,5.0,79357.0,43966.0,0%,7120.0,Activitati de testare si analize tehnice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S.C. LEVEL ONE MARKETING SRL,37876310,MUREŞ,-,183445,44870,0.01%,8220,Activitati ale centrelor de intermediere telefonica (call center),4.0,245304.0,46127.0,0.01%,8220.0,Activitati ale centrelor de intermediere telefonica (call center),1.0,249858.0,127249.0,0.01%,8220.0,Activitati ale centrelor de intermediere telefonica (call center),1.0,139055.0,17724.0,0%,8220.0,Activitati ale centrelor de intermediere telefonica (call center)
S.C. BROBUS S.R.L-D,37890242,HARGHITA,0747454167,162386,6306,0.01%,4312,Lucrari de pregatire a terenului,4.0,251020.0,114091.0,0.02%,4312.0,Lucrari de pregatire a terenului,1.0,64363.0,257.0,0%,8130.0,Activitati de întretinere peisagistica,0.0,2300.0,370.0,0%,8130.0,Activitati de întretinere peisagistica
SC GLIGACATV SRL,37891477,MUREŞ,0754593472,866132,277979,0.12%,5590,Alte servicii de cazare,17.0,580880.0,111815.0,0.08%,5590.0,Alte servicii de cazare,17.0,982285.0,7408.0,0.14%,5590.0,Alte servicii de cazare,15.0,802478.0,28828.0,0.11%,5590.0,Alte servicii de cazare
S.C.HASEK FABUTOR SRL,37906675,HARGHITA,0753393197,285000,128026,0.01%,4332,Lucrari de tâmplarie si dulgherie,4.0,157099.0,50728.0,0.01%,4332.0,Lucrari de tâmplarie si dulgherie,0.0,900.0,873.0,0%,4332.0,Lucrari de tâmplarie si dulgherie,nan,nan,nan,nan,nan,nan
B.C. TRANSPORT 2017  SRL,37926150,BRAŞOV,-,36800,12564,0%,3832,Recuperarea materialelor reciclabile sortate,5.0,0.0,0.0,0%,3832.0,Recuperarea materialelor reciclabile sortate,0.0,0.0,0.0,0%,3832.0,Recuperarea materialelor reciclabile sortate,nan,nan,nan,nan,nan,nan
